Sample Name	Protocol REF	Parameter Value[Seed Sanitization]	Parameter Value[Substrate Type]	Parameter Value[Mean Germination Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Number Of Seeds Per Container]	Protocol REF	Parameter Value[Age At Sample Harvest]	Unit	Term Source REF	Term Accession Number	Parameter Value[Total Wet Biomass]	Unit	Term Source REF	Term Accession Number	Parameter Value[Average Plant Height]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File
Terrestrial_Apollo14_Seedlings_BoleraceaCapitata	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	32	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	16	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_BoleraceaCapitata	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	17	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	16	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_Dcarota	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	15	Biomass Assesment	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	13	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	32	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_Dcarota	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	15	Biomass Assesment	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	9	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	32	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_Dcarota	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	15	Biomass Assesment	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	8	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	26	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_Dcarota	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	15	Biomass Assesment	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	7	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	25	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_Lsativa	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	32	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	22	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_Lsativa	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	27	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	20	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_Lsativa	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	25	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	16	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_Lsativa	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	18	day	UO	http://purl.obolibrary.org/obo/UO_0000033	20	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	16	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarA_Apollo14_Seedlings_Rsativus	Seed Germination	TRUE	LunarA	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	114	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	40	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
LunarB_Apollo14_Seedlings_Rsativus	Seed Germination	TRUE	LunarB	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	117	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	41	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Terrestrial_Apollo14_Seedlings_Rsativus	Seed Germination	TRUE	Terrestrial	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	102	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	35	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
Untreated_Apollo14_Seedlings_Rsativus	Seed Germination	TRUE	Untreated	23	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	10	Biomass Assesment	14	day	UO	http://purl.obolibrary.org/obo/UO_0000033	89	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	31	millimeter	UO	http://purl.obolibrary.org/obo/UO_0000016	growth and germination	OSD-883_sup_MMP 21221 - ANALYSIS OF VEGETABLE SEEDLINGS GROWN IN CONTACT WITH APOLLO 14 LUNAR SURFACE FINES.pdf
