Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Age at launch]	Unit	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[Launch Mission]	Protocol REF	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Parameter Value[treatment]	Term Source REF	Term Accession Number	Parameter Value[Duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Euthanasia Method]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Source Storage Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[light cycle]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number	Comment[Source description]	Comment[Initiation Date]	Comment[Completion Date]	Comment[Dissection date]	Comment[Original Submitted Sample Name]	Comment[Sample Name Description]	Comment[ALSDA Biospecimen Source ID]	Comment[ALSDA Biospecimen Subject ID]	Protocol REF	Parameter Value[ionizing radiation]	Term Source REF	Term Accession Number	Parameter Value[vehicle]	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose]	Unit	Term Source REF	Term Accession Number	Parameter Value[absorbed radiation dose rate]	Unit	Term Source REF	Term Accession Number	Parameter Value[exposure duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[ionizing radiation categorized by source]	Term Source REF	Term Accession Number
RR3_FLT_F4	Mmus_BAL-TAL_EYE_FLT_Rep4_F4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			40	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			21.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	18-May-16	14-Sep-16	RR3_FLT_F4_EYE	Flight 4 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	9.2	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR3_FLT_F5	Mmus_BAL-TAL_EYE_FLT_Rep5_F5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			40	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			22.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	18-May-16	15-Sep-16	RR3_FLT_F5_EYE	Flight 5 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	9.2	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR3_FLT_F6	Mmus_BAL-TAL_EYE_FLT_Rep6_F6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SpaceX-3	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			41	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			21.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	8-Apr-16	19-May-16	15-Sep-16	RR3_FLT_F6_EYE	Flight 6 eye 	5407	550	radiation dosimetry	space radiation	RBO	http://purl.obolibrary.org/obo/RBO_00000002	ISS-US Laboratory	RBO	http://purl.obolibrary.org/obo/RBO_00000040	9.471	milligray	UO	http://purl.obolibrary.org/obo/UO_0000142	0.231	milligray per day	UO	http://purl.obolibrary.org/obo/UO_0010063	0.231	day	UO	http://purl.obolibrary.org/obo/UO_0000033	outer space	RBO	http://purl.obolibrary.org/obo/ENVO_01000637
RR3_GC_G1	Mmus_BAL-TAL_EYE_GC_Rep1_G1	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			42	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	20-May-16	13-Sep-16	RR3_GC_G1_EYE	Ground control 1 eye 	5407	550	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G2	Mmus_BAL-TAL_EYE_GC_Rep2_G2	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			42	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	20-May-16	13-Sep-16	RR3_GC_G2_EYE	Ground control 2 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G3	Mmus_BAL-TAL_EYE_GC_Rep5_G3	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			42	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			22.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	20-May-16	14-Sep-16	RR3_GC_G3_EYE	Ground control 3 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G4	Mmus_BAL-TAL_EYE_GC_Rep3_G4	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			43	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			22.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	21-May-16	14-Sep-16	RR3_GC_G4_EYE	Ground control 4 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G5	Mmus_BAL-TAL_EYE_GC_Rep4_G5	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			43	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	21-May-16	14-Sep-16	RR3_GC_G5_EYE	Ground control 5 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G6	Mmus_BAL-TAL_EYE_GC_Rep6_G6	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			20.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	21-May-16	15-Sep-16	RR3_GC_G6_EYE	Ground control 6 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
RR3_GC_G7	Mmus_BAL-TAL_EYE_GC_Rep5_G7	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)			ad libitum	eye	UBERON	http://purl.obolibrary.org/obo/UBERON_0000970	Ground Control			Not Applicable	animal husbandry	Rodent Habitat			Sham treated (control Ig-G injection)			44	day	UO	http://purl.obolibrary.org/obo/UO_0000033	ketamine/xylazine/acepromazine			22.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	12:12 hour light/dark cycle (lights on: 0700-1900 GMT)	sample collection	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	frozen carcass	11-Apr-16	21-May-16	15-Sep-16	RR3_GC_G7_EYE	Ground control 7 eye 	5406	549	radiation dosimetry	non-irradiated	RBO	http://purl.obolibrary.org/obo/RBO_00005025	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
Pool of all the BSL, GC and FLT samples	Pool of all the BSL, GC and FLT samples	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	BALB/c	EFO	http://www.ebi.ac.uk/efo/EFO_0000602	Taconic Biosciences	female	EFO	http://purl.obolibrary.org/obo/PATO_0000383	12	week	UO	http://purl.obolibrary.org/obo/UO_0000034	Nutrient Upgraded Rodent Food Bar (NuRFB)	GLDS	https://genelab-data.ndc.nasa.gov/	ad libitum	eye	OBI	http://purl.obolibrary.org/obo/UBERON_0000970	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	animal husbandry	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not applicable	sample collection	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	radiation dosimetry	Not Applicable	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48660	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/		Not applicable	GLDS	https://genelab-data.ndc.nasa.gov/	Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660
