Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Characteristics[Common Name]	Term Source REF	Term Accession Number	Factor Value[Growth Medium Provenance]	Term Source REF	Term Accession Number	Characteristics[Mission]	Protocol REF	Parameter Value[relative humidity]	Unit	Term Source REF	Term Accession Number	Parameter Value[container]	Term Source REF	Term Accession Number	Parameter Value[Growth Medium]	Parameter Value[light cycle]	Unit	Term Source REF	Term Accession Number	Parameter Value[light source]	Term Source REF	Term Accession Number	Parameter Value[Mean Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Quantity of treatment substrate]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Number of pooled replicates]
Simulated_Lunar_Apollo15_Lsativa	Simulated_Lunar_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Simulated Lunar	Lettuce	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Iowa_Soil_Apollo15_Lsativa	Iowa_Soil_Apollo15_Lsativa	Lactuca sativa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/4236	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Iowa Soil	Lettuce	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Untreated_Apollo15_Boleracea	Untreated_Apollo15_Boleracea	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Untreated	Cabbage	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Lunar_Apollo15_Boleracea	Lunar_Apollo15_Boleracea	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Oak Leaf	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Lunar	Cabbage	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Simulated_Lunar_Apollo15_Boleracea	Simulated_Lunar_Apollo15_Boleracea	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Golden Acre	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Simulated Lunar	Cabbage	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Iowa_Soil_Apollo15_Boleracea	Iowa_Soil_Apollo15_Boleracea	Brassica oleracea	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3712	Golden Acre	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Seedlings	MESH	http://purl.bioontology.org/ontology/MESH/D036226	Iowa Soil	Cabbage	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Control_Apollo15_Gmax_Root_BYS-1_1084	Control_Apollo15_Gmax_Root_BYS-1_1084	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Golden Acre	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Control	Soybean	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Lunar_Apollo15_Gmax_Root_BYS-2_1085	Lunar_Apollo15_Gmax_Root_BYS-2_1085	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Golden Acre	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Roots	MESH	http://purl.bioontology.org/ontology/MESH/D018517	Lunar	Soybean	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
Control_Apollo15_Gmax_Stem_BYS-3_1086	Control_Apollo15_Gmax_Stem_BYS-3_1086	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Stems	MESH	http://purl.bioontology.org/ontology/MESH/D018547	Control	Soybean	OSD	https://osdr.nasa.gov/	Earth surface	RBO	http://purl.obolibrary.org/obo/RBO_00000017	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol		Not Applicable	NCIT	http://purl.obolibrary.org/obo/NCIT_C48660	sample collection	10
Lunar_Apollo15_Gmax_Stem_BYS-4_1087	Lunar_Apollo15_Gmax_Stem_BYS-4_1087	Glycine max	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/3847	Kanrich	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126101	Plant Stems	MESH	http://purl.bioontology.org/ontology/MESH/D018547	Lunar	Soybean	OSD	https://osdr.nasa.gov/	lunar surface	RBO	http://purl.obolibrary.org/obo/RBO_00005019	Apollo 15	growth protocol	50-90	percent	UO	http://purl.obolibrary.org/obo/UO_0000187	Open jar	OSD	https://osdr.nasa.gov/	Hoagland's solution	16:8 light:dark	hour	UO	http://purl.obolibrary.org/obo/UO_0000032	CWF and Sylvania W.W. Gro-Liix	OSD	https://osdr.nasa.gov/	22.5	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	treatment protocol	0.22	grams per replicate	OSD	https://osdr.nasa.gov/	sample collection	10
