Sample Name	Protocol REF	Protocol REF	Protocol REF	Parameter Value[Aluminum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Boron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Barium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Calcium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Cobalt]	Unit	Term Source REF	Term Accession Number	Parameter Value[Chromium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Copper]	Unit	Term Source REF	Term Accession Number	Parameter Value[Iron]	Unit	Term Source REF	Term Accession Number	Parameter Value[Potassium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Magnesium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Manganese]	Unit	Term Source REF	Term Accession Number	Parameter Value[Molybdenum]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sodium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Nickel]	Unit	Term Source REF	Term Accession Number	Parameter Value[Phosphorus]	Unit	Term Source REF	Term Accession Number	Parameter Value[Silicon]	Unit	Term Source REF	Term Accession Number	Parameter Value[Titanium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Vanadium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Yttrium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zinc]	Unit	Term Source REF	Term Accession Number	Parameter Value[Zirconium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Scandium]	Unit	Term Source REF	Term Accession Number	Parameter Value[Ash Factor]	Unit	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Assay Name	Parameter Value[Supplemental Data Files]
Simulated_Lunar_Apollo15_Lsativa	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	1000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	27	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	42	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	28	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	32000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	250	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	10000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	12	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	740	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	7.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1903	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Iowa_Soil_Apollo15_Lsativa	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	1100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	21	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	15	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	51	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	34000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	180	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	11000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	17	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	910	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3.2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	190	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1888	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Untreated_Apollo15_Boleracea	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	40	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	31	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	7800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	33	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	240	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	15000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	5200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	86	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	8900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	430	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	28	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	48	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1073	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Boleracea	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	2400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	74	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	39	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	32	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	21000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	230	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	11000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	24	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	5000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.1	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	260	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.9	Not Available	OSD	https://osdr.nasa.gov/	19	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	5.2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1611	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Simulated_Lunar_Apollo15_Boleracea	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	430	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	27	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	15	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	7100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	16	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	25	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	880	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	12000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	6500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	146	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	8800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.22	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	220	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.9	Not Available	OSD	https://osdr.nasa.gov/	25	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2.7	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1127	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Iowa_Soil_Apollo15_Boleracea	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	930	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	125	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	6800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	10	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	99	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	6500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	9	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.45	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	490	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2.8	Not Available	OSD	https://osdr.nasa.gov/	42	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4.5	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	0.1139	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Control_Apollo15_Gmax_Root_BYS-1_1084	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	51	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	130	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	150	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	15000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	32	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.38	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	10000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	470	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	6.4	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	0.1281	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Gmax_Root_BYS-2_1085	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	660	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	20	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.96	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	69	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	69	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	7500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	46	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.41	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	2100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	65	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4.1	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.21	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.6686	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Control_Apollo15_Gmax_Stem_BYS-3_1086	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	9.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	12	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	0.74	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	20	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	43	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.46	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	220	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	5.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	0.0928	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Gmax_Stem_BYS-4_1087	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	10	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	21	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	270	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	12	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	62	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	42	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2400	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	330	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	5	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	*0.0905	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Control_Apollo15_Gmax_Leaves_BYS-5_1088	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	20	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	110	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3900	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	2.3	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	30	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	220	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	2600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	140	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	2500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	3800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	870	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4.9	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	7.9	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	0.0918	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Gmax_Leaves_BYS-6_1089	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	38	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	120	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	14	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	4.7	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	23	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	150	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	15000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	160	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	2100	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4.4	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	10	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	0.0951	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Lunar_Apollo15_Rsativus_Seedling_BYR-1_1094	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	460	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	37	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1.4	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	630	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	53	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	9800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	4500	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	1300	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	63	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	16	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.1204	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
Terrestrial_Basalt_Apollo15_Rsativus_Seedling_BYR-2_1095	Sample Preparation	Assay Procedure	Flame Atomic Absorption Spectroscopy	110	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	18	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	8.6	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	4000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	540	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	11	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	13000	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	3700	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	60	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	9600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/	5800	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	600	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	200	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/		Not Available	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/		Not Detected	OSD	https://osdr.nasa.gov/	9.2	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	0.1198	micrograms of element per gram dry weight	OSD	https://osdr.nasa.gov/	Graphite Furnace Atomic Absorption Spectroscopy	Hydride Generation Atomic Absorption Spectroscopy	spectroscopy	OSD-877_sup_MMP 21243 - APOLLO 15 EXPERIMENT DATA AND SUMMARIES.pdf
